Exit #,Ticker,Qty,Day In,Price In,Amount In,Day Out,Price Out,Amount Out,Reason Why Closed,Gain $,Gain %
1,TQQQ,9,2024-01-02,5.3,4770.0,2025-01-17,0.0,0.0,Expiration (OTM/Max Profit),4770.0,17.263843648208468
2,SPXL,5,2024-01-03,9.1,4550.0,2025-01-17,0.0,0.0,Expiration (OTM/Max Profit),4550.0,13.01859799713877
3,TQQQ,11,2024-01-08,4.45,4895.0,2025-01-17,0.0,0.0,Expiration (OTM/Max Profit),4895.0,14.566284779050736
4,SOXL,12,2024-01-09,4.0,4800.0,2025-01-17,0.0,0.0,Expiration (OTM/Max Profit),4800.0,25.0
5,SOXL,13,2024-01-10,3.65,4745.0,2025-01-17,0.0,0.0,Expiration (OTM/Max Profit),4745.0,23.778501628664493
6,SOXL,16,2024-01-11,3.15,5040.0,2025-01-17,0.0,0.0,Expiration (OTM/Max Profit),5040.0,21.21212121212121
7,TQQQ,10,2024-01-12,4.75,4750.0,2025-01-17,0.0,0.0,Expiration (OTM/Max Profit),4750.0,14.728682170542637
8,SPXL,5,2024-01-17,8.6,4300.0,2025-01-17,0.0,0.0,Expiration (OTM/Max Profit),4300.0,12.044817927170868
9,ABNB,4,2024-02-06,12.6,5040.0,2025-06-20,0.0,0.0,Expiration (OTM/Max Profit),5040.0,11.731843575418994
10,ABNB,4,2024-02-08,12.9,5160.0,2025-06-20,0.0,0.0,Expiration (OTM/Max Profit),5160.0,11.507582515611062
11,EXPE,4,2024-03-15,11.65,4660.0,2025-06-20,0.0,0.0,Expiration (OTM/Max Profit),4660.0,11.27237542331882
12,MRNA,5,2024-03-21,11.55,5775.0,2025-06-20,25.9,29553.35,Expiration (ITM/Assigned),-23781.699999999997,-64.75616065350577
13,MRNA,6,2024-03-22,9.4,5640.000000000001,2025-06-20,25.9,32464.020000000004,Expiration (ITM/Assigned),-26828.040000000005,-63.333427762039676
14,PYPL,10,2024-04-02,5.6,5600.0,2025-06-20,0.0,0.0,Expiration (OTM/Max Profit),5600.0,11.336032388663968
15,AMD,3,2024-04-24,15.5,4650.0,2025-06-20,128.24,530.0099999999973,Expiration (ITM/Assigned),4117.980000000002,11.988296943231449
16,UBER,10,2024-04-29,6.05,6050.0,2025-06-20,0.0,0.0,Expiration (OTM/Max Profit),6050.0,11.758989310009719
17,FSLR,3,2024-04-30,15.1,4530.0,2025-06-20,0.0,0.0,Expiration (OTM/Max Profit),4530.0,11.624326404926867
18,PODD,3,2024-05-07,19.0,5700.0,2025-07-18,0.0,0.0,Expiration (OTM/Max Profit),5700.0,13.970588235294118
19,AMD,3,2024-04-12,14.65,4395.0,2025-08-15,0.0,0.0,Expiration (OTM/Max Profit),4395.0,12.70047680970958
20,AMD,4,2024-04-16,12.7,5080.0,2025-08-15,0.0,0.0,Expiration (OTM/Max Profit),5080.0,11.308993766696348
21,TQQQ,5,2025-01-17,9.9,4946.65,2025-10-31,1.74,873.3499999999999,LIQUIDATION,4073.2999999999997,12.361876147554666
22,TQQQ,5,2025-01-21,10.15,5071.65,2025-10-31,1.8,903.35,LIQUIDATION,4168.299999999999,12.278032651678608
23,TQQQ,7,2025-01-22,8.45,5910.3099999999995,2025-10-31,1.45,1019.69,LIQUIDATION,4890.619999999999,10.76260677342083
24,SPXL,4,2025-01-23,14.8,5917.32,2025-10-31,3.5,1402.68,LIQUIDATION,4514.639999999999,7.791815094027006
25,NVDA,5,2025-01-24,12.1,6046.65,2025-10-31,1.05,528.35,LIQUIDATION,5518.299999999999,9.607151872840118
26,SPXL,3,2025-01-27,15.3,4587.990000000001,2025-10-31,3.2,962.0100000000001,LIQUIDATION,3625.9800000000005,8.642730984576001
27,TSLA,1,2025-02-03,33.7,3369.3300000000004,2025-10-31,12.35,1235.67,LIQUIDATION,2133.6600000000003,7.912320192239945
28,TSLA,1,2025-02-04,27.8,2779.33,2025-10-31,10.9,1090.67,LIQUIDATION,1688.6599999999999,6.5017980764047705
29,SMCI,11,2025-06-20,5.65,6207.630000000001,2025-10-31,3.3,3637.3699999999994,LIQUIDATION,2570.2600000000016,7.0927497078331125
30,SMCI,11,2025-06-23,5.9,6482.630000000001,2025-10-31,2.57,2834.37,LIQUIDATION,3648.260000000001,10.383519614288849
31,TSLA,1,2025-06-24,47.2,4719.33,2025-10-31,20.25,2025.67,LIQUIDATION,2693.66,9.636458601642769
32,SMCI,15,2025-06-25,4.45,6664.95,2025-10-31,2.48,3730.0500000000006,LIQUIDATION,2934.899999999999,6.531688671529433
33,IBIT,13,2025-06-26,5.4,7011.29,2025-10-31,4.0,5208.71,LIQUIDATION,1802.58,2.77619829415769
34,PLTR,7,2025-06-27,10.05,7030.310000000001,2025-10-31,3.95,2769.69,LIQUIDATION,4260.620000000001,7.1691823862331345
35,CEG,2,2025-06-30,25.3,5058.66,2025-10-31,17.0,3401.34,LIQUIDATION,1657.3199999999997,3.456393614935744
36,COIN,2,2025-07-01,30.7,6138.66,2025-10-31,23.6,4721.34,LIQUIDATION,1417.3199999999997,3.0852485709185733
37,CEG,2,2025-07-02,24.8,4958.66,2025-10-31,14.4,2881.34,LIQUIDATION,2077.3199999999997,4.5207876318813325
38,CRWD,2,2025-07-23,38.65,7728.66,2025-10-31,24.35,4871.34,LIQUIDATION,2857.3199999999997,3.7634594133243415
39,COIN,2,2025-08-15,35.2,7038.660000000001,2025-10-31,32.95,6591.340000000001,LIQUIDATION,447.3199999999997,0.9332854853785546
40,COIN,2,2025-08-18,30.3,6058.66,2025-10-31,29.5,5901.34,LIQUIDATION,157.3199999999997,0.34245114215684075
